OPSNET : Tower Operations : Standard Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"From 01/2020 To 11/2023 | Facility=MCO, ACY, AMA, ANC, APA, ATL, AUS, AVL, BCT, BDL, BED, BFI, BFM, BJC, BKL, BNA, BOS, BTR, BUF, BWI, BZN, CHO, CHS, CID, CMA, CMH, DAL, DCA, DEN, DSM, DTW, EGE, EWR, EYW, FAT, FAY, FDK, FLL, FSD, FSM, FTW, FTY, FXE, GEG, GRB, GRR, GSO, GYY, HEF, HNL, HOU, HPN, HSV, HXD, IAD, IAH, ICT, IFP, IND, INT, ISM, ITO, IXD, JAX, KOA, LAS, LAX, LEX, LFT, LGB, LIH, LIT, LRD, LUK, MAF, MCI, MDW, MEM, MHT, MIA, MKC, MKE, MMU, MOB, MSP, MSY, NEW, OAK, OGG, OMA, OPF, ORD, ORF, PBI, PDK, PIE, PSP, PVU, PWK, RDU, ROA, RST, SAF, SAN, SAT, SAV, SBA, SDL, SEA, SFO, SHV, SJC, SLC, STL, STP, STS, STT, SUS, SWF, TEB, TMB, TPA, TTN, TXK, TYS, UGN, VNY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,IFR Itinerant,,,,,IFR Overflight,,,,,VFR Itinerant,,,,,VFR Overflight,,,,,Local,,,,,
Jun-20,ATL,GA,ASO,ES,Towers with Radar,"21,970","2,136",172,18,"24,296",18,12,61,1,92,0,12,145,5,162,0,24,168,149,341,0,0,0,"24,458","24,891",
Jun-20,AUS,TX,ASW,CE,Combined TRACON & Tower with Radar,"4,044","1,094","1,669",126,"6,933",0,0,0,0,0,0,12,"1,319",247,"1,578",0,0,0,0,0,54,0,54,"8,565","8,565",
Jun-20,AVL,NC,ASO,ES,Combined TRACON & Tower with Radar,520,527,"1,295",90,"2,432",1,4,4,1,10,0,21,"1,012",17,"1,050",0,68,33,1,102,"1,588",20,"1,608","5,090","5,202",
Jun-20,BCT,FL,ASO,ES,Federal Contract Tower,0,912,"1,179",0,"2,091",0,0,0,0,0,0,3,"1,964",2,"1,969",0,4,"1,440",30,"1,474","3,027",20,"3,047","7,107","8,581",
Jun-20,BDL,CT,ANE,EN,Towers with Radar,"2,165",605,575,91,"3,436",0,7,46,11,64,0,16,262,258,536,0,9,277,6,292,0,0,0,"3,972","4,328",
Jun-20,BED,MA,ANE,EN,Towers with Radar,0,"1,240","1,414",12,"2,666",3,5,6,0,14,0,271,"2,232",0,"2,503",0,35,245,2,282,"2,970",0,"2,970","8,139","8,435",
Jun-20,BFI,WA,ANM,WE,Towers with Radar,437,"1,167","1,651",23,"3,278",28,20,149,0,197,1,249,"3,997",12,"4,259",0,331,679,13,"1,023","5,168",10,"5,178","12,715","13,935",
Jun-20,BFM,AL,ASO,CE,Federal Contract Tower,154,117,259,501,"1,031",2,0,5,11,18,0,42,348,409,799,0,110,40,143,293,330,"1,830","2,160","3,990","4,301",
Jun-20,BJC,CO,ANM,WE,Towers with Radar,1,474,"1,190",17,"1,682",0,6,26,0,32,31,76,"6,956",74,"7,137",0,45,273,3,321,"13,057",312,"13,369","22,188","22,541",
Jun-20,BKL,OH,AGL,CE,Federal Contract Tower,0,204,334,3,541,0,3,5,0,8,0,460,"1,302",18,"1,780",0,715,212,4,931,"1,906",2,"1,908","4,229","5,168",
Jun-20,BNA,TN,ASO,ES,Combined TRACON & Tower with Radar,"6,806","1,362","1,298",75,"9,541",8,23,129,11,171,1,40,"1,005",145,"1,191",0,316,318,33,667,0,0,0,"10,732","11,570",
Jun-20,BOS,MA,ANE,EN,Towers with Radar,"6,950","2,666",327,21,"9,964",2,45,52,1,100,0,507,141,27,675,0,376,509,16,901,0,0,0,"10,639","11,640",
Jun-20,BTR,LA,ASW,CE,Combined TRACON & Tower with Radar,316,282,786,37,"1,421",4,1,14,1,20,0,31,822,19,872,0,11,91,15,117,449,70,519,"2,812","2,949",
Jun-20,BUF,NY,AEA,CE,Combined TRACON & Tower with Radar,"1,444",558,351,26,"2,379",8,0,8,2,18,0,142,560,18,720,0,66,97,2,165,0,0,0,"3,099","3,282",
Jun-20,BWI,MD,AEA,EN,Towers with Radar,"10,666","1,407",541,86,"12,700",12,4,14,1,31,0,9,147,35,191,0,126,757,82,965,0,0,0,"12,891","13,887",
Jun-20,BZN,MT,ANM,WE,Federal Contract Tower,603,820,"1,023",32,"2,478",0,0,0,0,0,0,56,"2,451",3,"2,510",0,12,37,0,49,"3,644",26,"3,670","8,658","8,707",
Jun-20,CHO,VA,AEA,EN,Federal Contract Tower,103,922,"1,072",159,"2,256",0,0,0,0,0,0,279,"1,714",89,"2,082",0,269,201,89,559,"3,034","1,262","4,296","8,634","9,193",
Jun-20,CHS,SC,ASO,ES,Combined TRACON & Tower with Radar,"1,780",846,"1,524",950,"5,100",8,25,46,5,84,0,73,905,83,"1,061",0,23,67,11,101,172,512,684,"6,845","7,030",
Jun-20,CID,IA,ACE,CE,Combined TRACON & Tower with Radar,821,90,448,3,"1,362",1,0,0,0,1,0,9,919,7,935,0,6,15,1,22,968,0,968,"3,265","3,288",
Jun-20,CMA,CA,AWP,WE,Towers with Radar,0,188,"1,451",6,"1,645",0,1,413,195,609,0,15,"4,167",9,"4,191",0,0,475,33,508,"8,197",0,"8,197","14,033","15,150",
Jun-20,CMH,OH,AGL,CE,Combined TRACON & Tower with Radar,"2,517",988,815,27,"4,347",65,155,133,3,356,0,53,321,22,396,0,432,615,37,"1,084",0,0,0,"4,743","6,183",
Jun-20,DAL,TX,ASW,CE,Towers with Radar,"6,987","2,338","2,695",81,"12,101",8,52,239,1,300,0,96,372,11,479,0,604,637,338,"1,579",0,0,0,"12,580","14,459",
Jun-20,DCA,DC,AEA,EN,Towers with Radar,"6,814",34,103,36,"6,987",4,1,32,2,39,0,8,9,114,131,0,813,"1,348","1,329","3,490",0,0,0,"7,118","10,647",
Jun-20,DEN,CO,ANM,WE,Towers with Radar,"20,930","3,974",120,6,"25,030",7,10,22,0,39,0,28,38,2,68,0,12,53,18,83,0,0,0,"25,098","25,220",
Jun-20,DSM,IA,ACE,CE,Combined TRACON & Tower with Radar,"1,266",150,836,14,"2,266",23,6,48,0,77,10,15,593,5,623,11,263,235,2,511,556,10,566,"3,455","4,043",
Jun-20,DTW,MI,AGL,CE,Towers with Radar,"8,764","1,860",209,4,"10,837",18,43,46,1,108,0,2,117,0,119,0,1,93,15,109,0,0,0,"10,956","11,173",
Jun-20,EGE,CO,ANM,WE,Federal Contract Tower,115,735,840,3,"1,693",0,0,0,0,0,0,0,849,223,"1,072",0,0,13,0,13,967,71,"1,038","3,803","3,816",
Jun-20,EWR,NJ,AEA,EN,Towers with Radar,"6,128",619,101,16,"6,864",3,31,47,3,84,0,65,255,22,342,0,21,"2,202",781,"3,004",0,0,0,"7,206","10,294",
Jun-20,EYW,FL,ASO,ES,Federal Contract Tower,609,361,"1,019",15,"2,004",2,6,8,290,306,0,77,"1,255",9,"1,341",0,116,18,554,688,562,10,572,"3,917","4,911",
Jun-20,FAT,CA,AWP,WE,Combined TRACON & Tower with Radar,746,281,606,193,"1,826",0,1,1,1,3,7,264,"2,025",359,"2,655",0,82,275,6,363,758,148,906,"5,387","5,753",
Jun-20,FAY,NC,ASO,EN,Combined TRACON & Tower with Radar,271,31,505,163,970,1,0,3,6,10,0,6,621,23,650,0,14,162,14,190,805,126,931,"2,551","2,751",
Jun-20,FDK,MD,AEA,EN,Federal Contract Tower,0,50,302,10,362,0,0,0,0,0,0,138,"2,741",26,"2,905",0,42,131,50,223,"5,438",34,"5,472","8,739","8,962",
Jun-20,FLL,FL,ASO,ES,Towers with Radar,"6,156","1,073","1,172",30,"8,431",3,2,4,4,13,0,114,275,21,410,0,16,"1,181",50,"1,247",0,0,0,"8,841","10,101",
Jun-20,FSD,SD,AGL,CE,Combined TRACON & Tower with Radar,738,"1,128","1,082",222,"3,170",6,9,8,2,25,0,95,704,16,815,0,316,72,6,394,330,122,452,"4,437","4,856",
Jun-20,FSM,AR,ASW,ES,Combined TRACON & Tower with Radar,4,171,400,370,945,0,0,2,1,3,0,21,717,110,848,2,90,11,0,103,514,184,698,"2,491","2,597",
Jun-20,FTW,TX,ASW,CE,Towers with Radar,5,653,"1,885",14,"2,557",44,16,46,54,160,0,98,"3,085",7,"3,190",0,236,505,14,755,"6,033",0,"6,033","11,780","12,695",
Jun-20,FTY,GA,ASO,ES,Federal Contract Tower,0,185,834,5,"1,024",0,0,2,0,2,0,0,"1,184",0,"1,184",0,0,782,0,782,"2,726",0,"2,726","4,934","5,718",
Jun-20,FXE,FL,ASO,ES,Towers with Radar,1,780,"2,840",3,"3,624",8,9,84,1,102,0,210,"6,359",6,"6,575",0,9,468,1,478,"6,684",12,"6,696","16,895","17,475",
Jun-20,GEG,WA,ANM,WE,Combined TRACON & Tower with Radar,"1,941",726,381,196,"3,244",3,54,62,536,655,0,14,295,24,333,0,113,280,312,705,613,213,826,"4,403","5,763",
Jun-20,GRB,WI,AGL,CE,Combined TRACON & Tower with Radar,90,284,532,71,977,0,4,1,0,5,0,13,912,17,942,0,39,19,0,58,170,0,170,"2,089","2,152",
Jun-20,GRR,MI,AGL,CE,Towers with Radar,"1,186",331,881,8,"2,406",11,1,6,0,18,16,43,834,8,901,0,2,56,0,58,554,0,554,"3,861","3,937",
Jun-20,GSO,NC,ASO,ES,Combined TRACON & Tower with Radar,857,797,"1,102",166,"2,922",0,3,33,1,37,0,12,"1,002",6,"1,020",0,0,51,0,51,"1,600",61,"1,661","5,603","5,691",
Jun-20,GYY,IN,AGL,CE,Federal Contract Tower,19,120,432,1,572,0,0,0,0,0,12,17,437,24,490,0,13,387,5,405,698,102,800,"1,862","2,267",
Jun-20,HEF,VA,AEA,EN,Towers with Radar,0,356,830,70,"1,256",0,0,1,1,2,0,392,"2,319",83,"2,794",0,18,25,36,79,"2,771",22,"2,793","6,843","6,924",
Jun-20,HNL,HI,AWP,WE,Towers with Radar,"5,359","1,493",527,672,"8,051",0,0,0,2,2,0,"1,060","1,720",198,"2,978",0,0,0,0,0,39,4,43,"11,072","11,074",
Jun-20,HOU,TX,ASW,CE,Towers with Radar,"4,991","1,476","2,163",14,"8,644",5,2,67,35,109,0,98,898,68,"1,064",0,887,545,90,"1,522",0,0,0,"9,708","11,339",
Jun-20,HPN,NY,AEA,EN,Towers with Radar,1,"2,340","1,799",0,"4,140",0,10,11,0,21,0,460,"1,919",1,"2,380",0,11,213,2,226,"1,037",0,"1,037","7,557","7,804",
Jun-20,HSV,AL,ASO,ES,Combined TRACON & Tower with Radar,500,264,659,713,"2,136",0,6,10,7,23,0,2,"1,045",183,"1,230",0,9,53,27,89,332,506,838,"4,204","4,316",
Jun-20,HXD,SC,ASO,ES,Federal Contract Tower,229,536,947,18,"1,730",0,0,0,2,2,0,17,"1,131",12,"1,160",0,0,45,86,131,278,4,282,"3,172","3,305",
Jun-20,IAD,VA,AEA,EN,Towers with Radar,"4,215","3,271","1,208",34,"8,728",6,17,25,3,51,0,13,90,11,114,0,102,214,71,387,0,0,0,"8,842","9,280",
Jun-20,IAH,TX,ASW,CE,Towers with Radar,"8,218","2,436",329,6,"10,989",11,10,11,1,33,0,41,166,10,217,0,65,310,46,421,0,0,0,"11,206","11,660",
Jun-20,ICT,KS,ACE,CE,Combined TRACON & Tower with Radar,852,"1,025","1,524",970,"4,371",0,2,11,66,79,1,74,"1,113",91,"1,279",0,58,108,2,168,"1,030",126,"1,156","6,806","7,053",
Jun-20,IFP,AZ,AWP,WE,Federal Contract Tower,76,3,19,5,103,0,0,0,0,0,0,118,387,25,530,0,13,14,1,28,118,58,176,809,837,
Jun-20,IND,IN,AGL,CE,Combined TRACON & Tower with Radar,"5,843",922,545,69,"7,379",0,18,66,0,84,0,"3,097",193,10,"3,300",0,82,138,26,246,0,0,0,"10,679","11,009",
Jun-20,INT,NC,ASO,ES,Federal Contract Tower,3,265,348,7,623,4,2,12,0,18,0,84,908,12,"1,004",0,265,87,2,354,"1,052",8,"1,060","2,687","3,059",
Jun-20,ISM,FL,ASO,ES,Federal Contract Tower,0,121,"1,898",16,"2,035",0,0,0,0,0,0,52,"2,864",2,"2,918",0,100,"1,240",0,"1,340","4,600",0,"4,600","9,553","10,893",
Jun-20,ITO,HI,AWP,WE,Combined TRACON & Tower with Radar,720,232,56,107,"1,115",0,0,0,0,0,0,37,139,78,254,0,1,6,8,15,230,166,396,"1,765","1,780",
Jun-20,IXD,KS,ACE,CE,Federal Contract Tower,0,165,472,10,647,0,0,22,0,22,0,75,"2,126",99,"2,300",2,20,230,12,264,"4,484",16,"4,500","7,447","7,733",
Jun-20,JAX,FL,ASO,ES,Combined TRACON & Tower with Radar,"2,170",551,700,309,"3,730",14,30,159,8,211,0,63,180,91,334,0,51,114,5,170,86,555,641,"4,705","5,086",
Jun-20,KOA,HI,AWP,WE,Federal Contract Tower,796,107,174,212,"1,289",0,0,0,0,0,0,315,877,84,"1,276",1,13,16,4,34,"3,732",233,"3,965","6,530","6,564",
Jun-20,LAS,NV,AWP,WE,Towers with Radar,"12,333","1,626","1,611",919,"16,489",15,48,154,11,228,0,"1,760",321,10,"2,091",0,438,597,15,"1,050",0,0,0,"18,580","19,858",
Jun-20,LAX,CA,AWP,WE,Towers with Radar,"17,224","1,147",714,2,"19,087",6,3,8,0,17,1,3,93,18,115,0,12,"1,116",113,"1,241",0,0,0,"19,202","20,460",
Jun-20,LEX,KY,ASO,CE,Combined TRACON & Tower with Radar,413,618,"1,324",50,"2,405",0,0,1,0,1,1,82,"1,633",46,"1,762",0,22,11,3,36,982,32,"1,014","5,181","5,218",
Jun-20,LFT,LA,ASW,CE,Combined TRACON & Tower with Radar,55,269,551,14,889,0,5,2,0,7,0,540,604,9,"1,153",0,50,95,0,145,244,2,246,"2,288","2,440",
Jun-20,LGB,CA,AWP,WE,Towers with Radar,830,203,"2,125",39,"3,197",0,1,26,0,27,0,246,"5,329",8,"5,583",0,3,936,52,991,"13,162",0,"13,162","21,942","22,960",
Jun-20,LIH,HI,AWP,WE,Federal Contract Tower,661,242,73,118,"1,094",0,0,1,0,1,0,338,215,83,636,0,0,2,3,5,223,63,286,"2,016","2,022",
Jun-20,LIT,AR,ASW,ES,Combined TRACON & Tower with Radar,863,443,"1,338",532,"3,176",12,13,23,19,67,0,143,928,58,"1,129",0,297,176,27,500,173,258,431,"4,736","5,303",
Jun-20,LRD,TX,ASW,CE,Federal Contract Tower,203,317,341,739,"1,600",0,2,0,0,2,0,82,577,124,783,0,2,82,39,123,296,"2,614","2,910","5,293","5,418",
Jun-20,LUK,OH,ASO,CE,Federal Contract Tower,0,689,"1,523",6,"2,218",2,19,134,0,155,0,148,"2,240",2,"2,390",2,302,162,0,466,"3,728",0,"3,728","8,336","8,957",
Jun-20,MAF,TX,ASW,CE,Combined TRACON & Tower with Radar,645,290,831,908,"2,674",0,10,35,4,49,0,10,701,224,935,0,45,379,3,427,369,"1,391","1,760","5,369","5,845",
Jun-20,MCI,MO,ACE,CE,Combined TRACON & Tower with Radar,"4,010",98,176,125,"4,409",3,14,24,11,52,0,24,151,24,199,0,3,173,24,200,160,24,184,"4,792","5,044",
Jun-20,MCO,FL,ASO,ES,Towers with Radar,"10,551",561,590,14,"11,716",18,1,3,0,22,0,48,117,10,175,0,2,31,1,34,0,0,0,"11,891","11,947",
Jun-20,MDW,IL,AGL,CE,Towers with Radar,"9,402","1,232",754,4,"11,392",10,15,3,4,32,0,93,859,30,982,0,138,181,18,337,0,0,0,"12,374","12,743",
Jun-20,MEM,TN,ASO,ES,Towers with Radar,"13,796",778,942,115,"15,631",26,3,13,1,43,2,25,191,5,223,0,102,260,0,362,0,0,0,"15,854","16,259",
Jun-20,MHT,NH,ANE,EN,Towers with Radar,910,696,573,45,"2,224",0,9,60,4,73,0,100,471,4,575,0,17,348,1,366,130,0,130,"2,929","3,368",
Jun-20,MIA,FL,ASO,ES,Combined TRACON & Tower with Radar,"10,958","1,741",447,52,"13,198",6,0,0,1,7,0,17,124,6,147,0,7,604,9,620,0,0,0,"13,345","13,972",
Jun-20,MKC,MO,ACE,CE,Towers with Radar,6,897,"1,101",23,"2,027",0,1,4,1,6,0,356,"2,421",27,"2,804",0,149,791,16,956,"1,872",13,"1,885","6,716","7,678",
Jun-20,MKE,WI,AGL,CE,Combined TRACON & Tower with Radar,"2,332","1,419",373,94,"4,218",3,8,41,0,52,0,58,259,45,362,0,17,196,11,224,0,0,0,"4,580","4,856",
Jun-20,MMU,NJ,AEA,EN,Towers with Radar,1,618,855,9,"1,483",5,134,150,3,292,0,24,"1,279",9,"1,312",0,16,303,0,319,"3,002",0,"3,002","5,797","6,408",
Jun-20,MOB,AL,ASO,CE,Combined TRACON & Tower with Radar,61,317,166,"2,377","2,921",40,10,50,126,226,0,16,336,891,"1,243",0,25,35,49,109,78,92,170,"4,334","4,669",
Jun-20,MSP,MN,AGL,CE,Towers with Radar,"8,237","1,760",296,160,"10,453",5,35,136,5,181,1,1,31,31,64,0,201,143,41,385,0,0,0,"10,517","11,083",
Jun-20,MSY,LA,ASW,CE,Combined TRACON & Tower with Radar,"3,011",188,345,15,"3,559",5,10,10,6,31,0,132,218,24,374,0,227,219,102,548,0,0,0,"3,933","4,512",
Jun-20,NEW,LA,ASW,CE,Towers with Radar,0,83,776,48,907,10,0,3,2,15,0,54,"1,152",25,"1,231",0,31,54,21,106,"1,421",48,"1,469","3,607","3,728",
Jun-20,OAK,CA,AWP,WE,Towers with Radar,"5,397","1,528",652,14,"7,591",3,41,131,0,175,0,229,"1,349",18,"1,596",0,66,896,30,992,"2,777",33,"2,810","11,997","13,164",
Jun-20,OGG,HI,AWP,WE,Towers with Radar,863,219,109,73,"1,264",0,2,3,0,5,0,"1,269",656,52,"1,977",0,11,8,5,24,746,0,746,"3,987","4,016",
Jun-20,OMA,NE,ACE,CE,Towers with Radar,"2,130","1,093",881,69,"4,173",0,2,9,0,11,0,22,508,22,552,0,126,179,7,312,734,6,740,"5,465","5,788",
Jun-20,OPF,FL,ASO,ES,Federal Contract Tower,5,"1,110","3,064",74,"4,253",0,0,2,0,2,0,113,"2,986",276,"3,375",0,6,617,0,623,"3,805",276,"4,081","11,709","12,334",
Jun-20,ORD,IL,AGL,CE,Towers with Radar,"18,932","5,262",106,0,"24,300",5,39,5,1,50,0,0,67,0,67,0,9,45,2,56,0,0,0,"24,367","24,473",
Jun-20,ORF,VA,AEA,EN,Combined TRACON & Tower with Radar,"1,368",596,645,18,"2,627",28,8,4,209,249,4,2,451,18,475,0,0,31,88,119,31,0,31,"3,133","3,501",
Jun-20,PBI,FL,ASO,ES,Combined TRACON & Tower with Radar,"1,449","2,882","2,716",25,"7,072",0,0,8,3,11,0,148,"1,155",30,"1,333",0,83,593,14,690,24,0,24,"8,429","9,130",
Jun-20,PDK,GA,ASO,ES,Towers with Radar,3,"1,447","2,995",12,"4,457",0,3,19,17,39,0,72,"3,854",14,"3,940",0,47,549,13,609,"4,267",2,"4,269","12,666","13,314",
Jun-20,PIE,FL,ASO,ES,Towers with Radar,"1,067",363,"1,831",154,"3,415",3,2,62,1,68,0,10,"1,551",382,"1,943",1,19,448,34,502,"3,849",425,"4,274","9,632","10,202",
Jun-20,PSP,CA,AWP,WE,Towers with Radar,539,415,292,34,"1,280",1,3,4,2,10,14,60,561,42,677,0,43,108,5,156,210,0,210,"2,167","2,333",
Jun-20,PVU,UT,ANM,WE,Federal Contract Tower,76,140,"1,071",9,"1,296",0,2,5,0,7,0,18,"3,268",4,"3,290",0,218,246,3,467,"5,941",14,"5,955","10,541","11,015",
Jun-20,PWK,IL,AGL,CE,Towers with Radar,2,"1,219","1,421",0,"2,642",0,0,1,0,1,0,48,"2,265",4,"2,317",0,2,72,0,74,"2,401",0,"2,401","7,360","7,435",
Jun-20,RDU,NC,ASO,EN,Combined TRACON & Tower with Radar,"2,928",811,"2,047",85,"5,871",6,1,5,0,12,0,6,"2,269",184,"2,459",0,14,51,17,82,238,16,254,"8,584","8,678",
Jun-20,ROA,VA,AEA,EN,Combined TRACON & Tower with Radar,188,482,475,36,"1,181",0,1,8,3,12,0,11,657,24,692,0,16,102,12,130,"1,120",8,"1,128","3,001","3,143",
Jun-20,RST,MN,AGL,CE,Combined TRACON & Tower with Radar,103,431,"1,028",112,"1,674",0,5,14,2,21,0,18,895,12,925,0,51,39,0,90,"1,391",259,"1,650","4,249","4,360",
Jun-20,SAF,NM,ASW,CE,Federal Contract Tower,209,305,580,40,"1,134",0,4,0,0,4,0,78,"1,265",99,"1,442",1,70,19,2,92,"1,986",164,"2,150","4,726","4,822",
Jun-20,SAN,CA,AWP,WE,Towers with Radar,"6,051",742,475,12,"7,280",4,3,1,7,15,0,6,176,50,232,0,97,"1,206","1,279","2,582",0,0,0,"7,512","10,109",
Jun-20,SAT,TX,ASW,CE,Combined TRACON & Tower with Radar,"2,920","1,011","1,771",451,"6,153",3,2,19,4,28,0,282,931,59,"1,272",0,261,485,145,891,0,0,0,"7,425","8,344",
Jun-20,SAV,GA,ASO,ES,Combined TRACON & Tower with Radar,"1,052",973,"1,754",400,"4,179",1,2,2,7,12,0,73,"1,324",49,"1,446",0,59,58,8,125,"1,377",262,"1,639","7,264","7,401",
Jun-20,SBA,CA,AWP,WE,Combined TRACON & Tower with Radar,394,623,"1,311",55,"2,383",1,0,4,1,6,0,69,"1,850",37,"1,956",0,31,41,8,80,"2,134",22,"2,156","6,495","6,581",
Jun-20,SDL,AZ,AWP,CE,Towers with Radar,0,"1,530","2,350",6,"3,886",0,4,6,0,10,0,299,"4,953",2,"5,254",0,209,321,0,530,"7,740",0,"7,740","16,880","17,420",
Jun-20,SEA,WA,ANM,WE,Towers with Radar,"17,460",312,76,25,"17,873",15,28,33,1,77,1,47,112,13,173,0,10,60,3,73,0,0,0,"18,046","18,196",
Jun-20,SFO,CA,AWP,WE,Towers with Radar,"9,348","1,575",284,31,"11,238",19,0,1,0,20,0,62,51,188,301,0,21,273,14,308,0,0,0,"11,539","11,867",
Jun-20,SHV,LA,ASW,CE,Combined TRACON & Tower with Radar,372,384,372,64,"1,192",0,0,7,1,8,0,28,344,18,390,0,40,52,2,94,153,6,159,"1,741","1,843",
Jun-20,SJC,CA,AWP,WE,Towers with Radar,"4,086","1,186",801,10,"6,083",1,102,165,38,306,0,45,"1,078",9,"1,132",0,115,628,91,834,535,2,537,"7,752","8,892",
Jun-20,SLC,UT,ANM,WE,Towers with Radar,"9,422","2,544","1,689",142,"13,797",0,4,18,0,22,2,397,"2,517",190,"3,106",0,255,"1,067",274,"1,596",786,54,840,"17,743","19,361",
Jun-20,STL,MO,ACE,CE,Towers with Radar,"5,752","1,622",232,157,"7,763",5,62,88,1,156,0,141,111,78,330,0,39,262,2,303,22,52,74,"8,167","8,626",
Jun-20,STP,MN,AGL,CE,Towers with Radar,0,225,712,23,960,0,1,26,3,30,0,38,452,89,579,0,53,188,9,250,765,10,775,"2,314","2,594",
Jun-20,STS,CA,AWP,WE,Towers with Radar,206,203,388,5,802,0,0,0,0,0,0,352,"2,159",11,"2,522",0,53,82,1,136,"2,085",0,"2,085","5,409","5,545",
Jun-20,STT,VI,ASO,ES,Towers with Radar,267,470,253,4,994,1,0,0,0,1,0,"1,382",657,3,"2,042",2,145,8,0,155,792,6,798,"3,834","3,990",
Jun-20,SUS,MO,ACE,CE,Towers with Radar,1,649,"1,436",15,"2,101",0,0,24,0,24,0,41,"2,090",12,"2,143",0,19,182,2,203,"2,271",4,"2,275","6,519","6,746",
Jun-20,SWF,NY,AEA,EN,Federal Contract Tower,219,226,330,124,899,0,0,22,0,22,1,89,619,172,881,0,11,200,0,211,340,212,552,"2,332","2,565",
Jun-20,TEB,NJ,AEA,EN,Towers with Radar,0,"2,568","1,814",1,"4,383","1,998",116,27,5,"2,146",0,221,464,7,692,1,36,201,8,246,0,0,0,"5,075","7,467",
Jun-20,TMB,FL,ASO,ES,Towers with Radar,0,127,"1,930",12,"2,069",4,1,4,0,9,0,14,"6,471",10,"6,495",0,1,127,1,129,"8,069",0,"8,069","16,633","16,771",
Jun-20,TPA,FL,ASO,ES,Combined TRACON & Tower with Radar,"6,150",856,"1,095",41,"8,142",9,3,17,6,35,3,38,496,14,551,0,71,475,50,596,12,0,12,"8,705","9,336",
Jun-20,TTN,NJ,AEA,EN,Federal Contract Tower,71,241,543,18,873,0,1,0,0,1,0,6,"2,222",22,"2,250",0,0,201,5,206,"2,920",6,"2,926","6,049","6,256",
Jun-20,TXK,AR,ASW,CE,Federal Contract Tower,0,145,461,42,648,0,21,54,16,91,0,137,576,33,746,0,115,31,2,148,"1,232",128,"1,360","2,754","2,993",
Jun-20,TYS,TN,ASO,ES,Combined TRACON & Tower with Radar,"1,165",785,"1,944",510,"4,404",0,0,0,0,0,1,19,"1,129",131,"1,280",0,2,14,0,16,"1,533",506,"2,039","7,723","7,739",
Jun-20,UGN,IL,AGL,CE,Federal Contract Tower,0,224,344,9,577,0,0,20,2,22,0,0,"2,792",42,"2,834",0,0,296,14,310,"1,895",114,"2,009","5,420","5,752",
Jun-20,VNY,CA,AWP,WE,Towers with Radar,6,"1,796","2,340",1,"4,143",869,526,416,5,"1,816",0,60,"6,476",29,"6,565",0,23,"1,394",30,"1,447","7,817",0,"7,817","18,525","21,788",
Jul-20,ACY,NJ,AEA,EN,Combined TRACON & Tower with Radar,499,275,729,689,"2,192",0,0,0,3,3,2,26,803,545,"1,376",0,1,89,12,102,489,793,"1,282","4,850","4,955",
Jul-20,AMA,TX,ASW,CE,Combined TRACON & Tower with Radar,374,354,589,438,"1,755",0,0,8,3,11,0,11,378,149,538,0,35,184,39,258,404,432,836,"3,129","3,398",
Jul-20,ANC,AK,AAL,WE,Towers with Radar,"10,213","2,880","1,329",337,"14,759",48,26,124,319,517,4,"2,483","9,962",47,"12,496",0,62,276,63,401,"1,200",2,"1,202","28,457","29,375",
Jul-20,APA,CO,ANM,WE,Towers with Radar,2,"2,281","3,520",143,"5,946",0,7,6,4,17,0,811,"9,301",138,"10,250",0,97,260,36,393,"17,332",111,"17,443","33,639","34,049",
Jul-20,ATL,GA,ASO,ES,Towers with Radar,"36,381","3,461",141,18,"40,001",35,16,47,0,98,0,2,127,5,134,0,10,160,152,322,0,0,0,"40,135","40,555",
Jul-20,AUS,TX,ASW,CE,Combined TRACON & Tower with Radar,"6,466","1,182","1,650",168,"9,466",0,0,0,0,0,0,21,"1,311",266,"1,598",0,0,0,0,0,0,0,0,"11,064","11,064",
Jul-20,AVL,NC,ASO,ES,Combined TRACON & Tower with Radar,816,709,"1,485",71,"3,081",1,2,3,1,7,1,14,"1,190",36,"1,241",0,59,34,1,94,"1,481",8,"1,489","5,811","5,912",
Jul-20,BCT,FL,ASO,ES,Federal Contract Tower,0,680,984,0,"1,664",0,0,6,0,6,0,1,"1,994",0,"1,995",0,10,"1,470",22,"1,502","3,086",0,"3,086","6,745","8,253",
Jul-20,BDL,CT,ANE,EN,Towers with Radar,"2,917",580,642,81,"4,220",1,6,56,11,74,0,16,342,179,537,0,12,310,7,329,0,0,0,"4,757","5,160",
Jul-20,BED,MA,ANE,EN,Towers with Radar,9,"1,329","1,673",14,"3,025",0,7,7,0,14,0,218,"2,740",4,"2,962",0,35,305,9,349,"4,286",0,"4,286","10,273","10,636",
Jul-20,BFI,WA,ANM,WE,Towers with Radar,480,"1,277","2,045",30,"3,832",33,17,205,3,258,0,597,"5,191",24,"5,812",0,540,876,28,"1,444","5,847",6,"5,853","15,497","17,199",
Jul-20,BFM,AL,ASO,CE,Federal Contract Tower,160,137,248,319,864,7,1,3,7,18,0,40,333,279,652,0,55,63,93,211,300,"1,536","1,836","3,352","3,581",
